First 1 second:
Time Training: 337.89s, Trained: 46k, (X:23211,O:22912), Self Play: 49908 (Draws: 91.91%)
N wins: 35418, R wins: 10560, Draws: 3949, [70.94:21.15:7.91] (100K-epoch: 50, 6.78s)
Time Training: 344.67s, Trained: 45k, (X:23134,O:22844), Self Play: 50073 (Draws: 92.28%)
N wins: 35310, R wins: 10639, Draws: 4096, [70.56:21.26:8.18] (100K-epoch: 51, 6.76s)
Time Training: 351.43s, Trained: 45k, (X:23181,O:22768), Self Play: 49955 (Draws: 92.80%)
N wins: 35792, R wins: 10493, Draws: 4017, [71.15:20.86:7.99] (100K-epoch: 52, 6.78s)
Time Training: 358.21s, Trained: 46k, (X:23177,O:23108), Self Play: 49698 (Draws: 92.44%)
N wins: 35168, R wins: 10877, Draws: 3987, [70.29:21.74:7.97] (100K-epoch: 53, 6.74s)
Time Training: 364.95s, Trained: 46k, (X:23085,O:22960), Self Play: 49968 (Draws: 92.58%)
N wins: 35489, R wins: 10550, Draws: 3984, [70.95:21.09:7.96] (100K-epoch: 54, 6.83s)
Time Training: 371.78s, Trained: 46k, (X:23277,O:22762), Self Play: 49977 (Draws: 92.87%)
N wins: 35687, R wins: 10415, Draws: 4053, [71.15:20.77:8.08] (100K-epoch: 55, 6.76s)
Time Training: 378.55s, Trained: 46k, (X:23192,O:22910), Self Play: 49845 (Draws: 92.92%)
N wins: 35597, R wins: 10507, Draws: 4070, [70.95:20.94:8.11] (100K-epoch: 56, 6.88s)
Time Training: 385.43s, Trained: 46k, (X:23196,O:22908), Self Play: 49826 (Draws: 92.28%)
N wins: 35745, R wins: 10579, Draws: 3909, [71.16:21.06:7.78] (100K-epoch: 57, 6.78s)
Time Training: 392.21s, Trained: 46k, (X:23296,O:23028), Self Play: 49767 (Draws: 92.02%)
N wins: 35474, R wins: 10535, Draws: 4086, [70.81:21.03:8.16] (100K-epoch: 58, 6.87s)
Time Training: 399.08s, Trained: 46k, (X:23058,O:22951), Self Play: 49905 (Draws: 92.59%)
N wins: 35473, R wins: 10611, Draws: 4124, [70.65:21.13:8.21] (100K-epoch: 59, 6.70s)
Time Training: 405.78s, Trained: 46k, (X:23055,O:23029), Self Play: 49792 (Draws: 92.39%)
N wins: 35292, R wins: 10621, Draws: 4002, [70.70:21.28:8.02] (100K-epoch: 60, 6.79s)
Time Training: 412.58s, Trained: 45k, (X:22880,O:23033), Self Play: 50085 (Draws: 93.03%)
N wins: 35955, R wins: 10472, Draws: 4022, [71.27:20.76:7.97] (100K-epoch: 61, 6.69s)
Time Training: 419.27s, Trained: 46k, (X:23390,O:23037), Self Play: 49551 (Draws: 92.87%)
N wins: 35539, R wins: 10536, Draws: 3895, [71.12:21.08:7.79] (100K-epoch: 62, 7.00s)
Time Training: 426.27s, Trained: 46k, (X:23157,O:22918), Self Play: 50030 (Draws: 92.19%)
N wins: 35629, R wins: 10618, Draws: 4083, [70.79:21.10:8.11] (100K-epoch: 63, 6.91s)
Time Training: 433.18s, Trained: 46k, (X:23114,O:23133), Self Play: 49670 (Draws: 92.85%)
N wins: 35410, R wins: 10492, Draws: 4054, [70.88:21.00:8.12] (100K-epoch: 64, 7.54s)
Time Training: 440.73s, Trained: 45k, (X:23064,O:22838), Self Play: 50044 (Draws: 92.29%)
N wins: 35248, R wins: 10593, Draws: 4021, [70.69:21.24:8.06] (100K-epoch: 65, 7.44s)
Time Training: 448.17s, Trained: 45k, (X:22942,O:22899), Self Play: 50138 (Draws: 92.96%)
N wins: 35307, R wins: 10709, Draws: 3940, [70.68:21.44:7.89] (100K-epoch: 66, 7.53s)
Time Training: 455.70s, Trained: 46k, (X:23011,O:23005), Self Play: 50044 (Draws: 92.34%)
N wins: 35277, R wins: 10772, Draws: 3911, [70.61:21.56:7.83] (100K-epoch: 67, 7.20s)
Time Training: 462.90s, Trained: 46k, (X:22980,O:23069), Self Play: 50040 (Draws: 92.79%)
