First 1 second:
Time Training: 346.49s, Trained: 96k, (X:47864,O:48300), Self Play: 0 (Draws: NaN%)
N wins: 61419, R wins: 34606, Draws: 3975, [61.42:34.61:3.98] (100K-epoch: 42, 8.72s)
Time Training: 355.20s, Trained: 96k, (X:47992,O:48033), Self Play: 0 (Draws: NaN%)
N wins: 61185, R wins: 34986, Draws: 3829, [61.19:34.99:3.83] (100K-epoch: 43, 8.72s)
Time Training: 363.92s, Trained: 96k, (X:47843,O:48328), Self Play: 0 (Draws: NaN%)
N wins: 61207, R wins: 34855, Draws: 3938, [61.21:34.85:3.94] (100K-epoch: 44, 8.79s)
Time Training: 372.71s, Trained: 96k, (X:47974,O:48088), Self Play: 0 (Draws: NaN%)
N wins: 61442, R wins: 34682, Draws: 3876, [61.44:34.68:3.88] (100K-epoch: 45, 8.65s)
Time Training: 381.37s, Trained: 96k, (X:47973,O:48151), Self Play: 0 (Draws: NaN%)
N wins: 61146, R wins: 34800, Draws: 4054, [61.15:34.80:4.05] (100K-epoch: 46, 8.63s)
Time Training: 390.00s, Trained: 95k, (X:47872,O:48074), Self Play: 0 (Draws: NaN%)
N wins: 61176, R wins: 34862, Draws: 3962, [61.18:34.86:3.96] (100K-epoch: 47, 8.65s)
Time Training: 398.65s, Trained: 96k, (X:47919,O:48119), Self Play: 0 (Draws: NaN%)
N wins: 61086, R wins: 34969, Draws: 3945, [61.09:34.97:3.94] (100K-epoch: 48, 8.65s)
Time Training: 407.30s, Trained: 96k, (X:47679,O:48376), Self Play: 0 (Draws: NaN%)
N wins: 60957, R wins: 35061, Draws: 3982, [60.96:35.06:3.98] (100K-epoch: 49, 8.65s)
Time Training: 415.95s, Trained: 96k, (X:47811,O:48207), Self Play: 0 (Draws: NaN%)
N wins: 61025, R wins: 35039, Draws: 3936, [61.02:35.04:3.94] (100K-epoch: 50, 8.64s)
Time Training: 424.59s, Trained: 96k, (X:48003,O:48061), Self Play: 0 (Draws: NaN%)
N wins: 60738, R wins: 35361, Draws: 3901, [60.74:35.36:3.90] (100K-epoch: 51, 8.65s)
Time Training: 433.24s, Trained: 96k, (X:48034,O:48065), Self Play: 0 (Draws: NaN%)
N wins: 60981, R wins: 35080, Draws: 3939, [60.98:35.08:3.94] (100K-epoch: 52, 8.66s)
Time Training: 441.90s, Trained: 96k, (X:47819,O:48242), Self Play: 0 (Draws: NaN%)
N wins: 60897, R wins: 35082, Draws: 4021, [60.90:35.08:4.02] (100K-epoch: 53, 8.64s)
Time Training: 450.53s, Trained: 95k, (X:47673,O:48306), Self Play: 0 (Draws: NaN%)
N wins: 60973, R wins: 35068, Draws: 3959, [60.97:35.07:3.96] (100K-epoch: 54, 8.66s)
Time Training: 459.19s, Trained: 96k, (X:47980,O:48061), Self Play: 0 (Draws: NaN%)
N wins: 60895, R wins: 35108, Draws: 3997, [60.90:35.11:4.00] (100K-epoch: 55, 8.65s)
Time Training: 467.84s, Trained: 96k, (X:48108,O:47895), Self Play: 0 (Draws: NaN%)
N wins: 61286, R wins: 34840, Draws: 3874, [61.29:34.84:3.87] (100K-epoch: 56, 8.65s)
Time Training: 476.49s, Trained: 96k, (X:47819,O:48307), Self Play: 0 (Draws: NaN%)
N wins: 60937, R wins: 35037, Draws: 4026, [60.94:35.04:4.03] (100K-epoch: 57, 8.69s)
Time Training: 485.19s, Trained: 95k, (X:47633,O:48341), Self Play: 0 (Draws: NaN%)
