First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 741.90µs)
Time Training: 1270.35s, Trained: 46k, (X:23505,O:23001), Self Play: 50183 (Draws: 57.56%)
N wins: 34283, R wins: 12308, Draws: 3357, [68.64:24.64:6.72] (100K-epoch: 48, 9.67s)
Time Training: 1280.02s, Trained: 46k, (X:23479,O:23112), Self Play: 50052 (Draws: 57.32%)
N wins: 34459, R wins: 12262, Draws: 3192, [69.04:24.57:6.40] (100K-epoch: 49, 9.65s)
Time Training: 1289.67s, Trained: 46k, (X:23601,O:23120), Self Play: 50087 (Draws: 57.39%)
N wins: 34331, R wins: 12310, Draws: 3252, [68.81:24.67:6.52] (100K-epoch: 50, 9.59s)
Time Training: 1299.27s, Trained: 46k, (X:23519,O:23122), Self Play: 50107 (Draws: 57.84%)
N wins: 34648, R wins: 12351, Draws: 3224, [68.99:24.59:6.42] (100K-epoch: 51, 9.59s)
Time Training: 1308.86s, Trained: 46k, (X:23540,O:23459), Self Play: 49777 (Draws: 56.71%)
N wins: 34309, R wins: 12227, Draws: 3190, [69.00:24.59:6.42] (100K-epoch: 52, 10.23s)
Time Training: 1319.09s, Trained: 46k, (X:23522,O:23014), Self Play: 50274 (Draws: 57.47%)
N wins: 34539, R wins: 12260, Draws: 3256, [69.00:24.49:6.50] (100K-epoch: 53, 10.47s)
Time Training: 1329.56s, Trained: 46k, (X:23554,O:23245), Self Play: 49945 (Draws: 57.42%)
N wins: 34609, R wins: 12290, Draws: 3282, [68.97:24.49:6.54] (100K-epoch: 54, 10.01s)
Time Training: 1339.57s, Trained: 46k, (X:23745,O:23154), Self Play: 49819 (Draws: 56.92%)
N wins: 34094, R wins: 12286, Draws: 3227, [68.73:24.77:6.51] (100K-epoch: 55, 9.57s)
Time Training: 1349.14s, Trained: 46k, (X:23376,O:23004), Self Play: 50393 (Draws: 57.58%)
N wins: 34071, R wins: 12378, Draws: 3258, [68.54:24.90:6.55] (100K-epoch: 56, 9.70s)
Time Training: 1358.85s, Trained: 46k, (X:23366,O:23083), Self Play: 50293 (Draws: 56.57%)
N wins: 34150, R wins: 12514, Draws: 3250, [68.42:25.07:6.51] (100K-epoch: 57, 9.72s)
