First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 1.07ms)
Time Training: 815.34s, Trained: 47k, (X:23809,O:23915), Self Play: 50287 (Draws: 0.00%)
N wins: 30487, R wins: 17778, Draws: 1972, [60.69:35.39:3.93] (100K-epoch: 115, 7.09s)
Time Training: 822.44s, Trained: 48k, (X:23880,O:24385), Self Play: 49763 (Draws: 0.00%)
N wins: 30313, R wins: 17548, Draws: 1990, [60.81:35.20:3.99] (100K-epoch: 116, 7.10s)
Time Training: 829.54s, Trained: 47k, (X:23784,O:24077), Self Play: 50149 (Draws: 0.00%)
N wins: 30710, R wins: 17341, Draws: 1955, [61.41:34.68:3.91] (100K-epoch: 117, 7.10s)
Time Training: 836.64s, Trained: 48k, (X:24063,O:23988), Self Play: 49994 (Draws: 0.00%)
N wins: 30391, R wins: 17479, Draws: 2001, [60.94:35.05:4.01] (100K-epoch: 118, 7.16s)
Time Training: 843.81s, Trained: 47k, (X:23868,O:24002), Self Play: 50129 (Draws: 0.00%)
N wins: 30371, R wins: 17519, Draws: 2004, [60.87:35.11:4.02] (100K-epoch: 119, 7.22s)
Time Training: 851.03s, Trained: 47k, (X:23752,O:24138), Self Play: 50106 (Draws: 0.00%)
N wins: 30736, R wins: 17471, Draws: 2003, [61.21:34.80:3.99] (100K-epoch: 120, 7.09s)
Time Training: 858.12s, Trained: 48k, (X:24002,O:24205), Self Play: 49790 (Draws: 0.00%)
N wins: 30940, R wins: 17392, Draws: 1989, [61.49:34.56:3.95] (100K-epoch: 121, 7.08s)
Time Training: 865.20s, Trained: 48k, (X:24328,O:24004), Self Play: 49679 (Draws: 0.00%)
N wins: 30267, R wins: 17373, Draws: 1990, [60.99:35.01:4.01] (100K-epoch: 122, 7.11s)
Time Training: 872.31s, Trained: 47k, (X:23988,O:23652), Self Play: 50370 (Draws: 0.00%)
N wins: 30485, R wins: 17420, Draws: 1984, [61.11:34.92:3.98] (100K-epoch: 123, 7.10s)
Time Training: 879.41s, Trained: 47k, (X:23771,O:24134), Self Play: 50111 (Draws: 0.00%)
N wins: 30670, R wins: 17554, Draws: 2026, [61.03:34.93:4.03] (100K-epoch: 124, 7.09s)
Time Training: 886.50s, Trained: 48k, (X:24108,O:24116), Self Play: 49750 (Draws: 0.00%)
N wins: 30378, R wins: 17354, Draws: 1982, [61.11:34.91:3.99] (100K-epoch: 125, 7.10s)
Time Training: 893.61s, Trained: 47k, (X:23918,O:23814), Self Play: 50286 (Draws: 0.00%)
N wins: 30187, R wins: 17305, Draws: 2000, [60.99:34.97:4.04] (100K-epoch: 126, 7.12s)
Time Training: 900.73s, Trained: 47k, (X:23572,O:23920), Self Play: 50508 (Draws: 0.00%)
N wins: 30127, R wins: 17658, Draws: 1990, [60.53:35.48:4.00] (100K-epoch: 127, 7.20s)
Time Training: 907.94s, Trained: 47k, (X:23638,O:24147), Self Play: 50225 (Draws: 0.00%)
N wins: 30600, R wins: 17569, Draws: 1951, [61.05:35.05:3.89] (100K-epoch: 128, 7.09s)
Time Training: 915.02s, Trained: 48k, (X:24034,O:24135), Self Play: 49880 (Draws: 0.00%)
N wins: 30632, R wins: 17251, Draws: 1981, [61.43:34.60:3.97] (100K-epoch: 129, 7.09s)
Time Training: 922.13s, Trained: 47k, (X:23841,O:24042), Self Play: 50136 (Draws: 0.00%)
N wins: 30147, R wins: 17389, Draws: 1941, [60.93:35.15:3.92] (100K-epoch: 130, 7.11s)
Time Training: 929.24s, Trained: 47k, (X:23721,O:23815), Self Play: 50523 (Draws: 0.00%)
N wins: 30498, R wins: 17647, Draws: 1982, [60.84:35.20:3.95] (100K-epoch: 131, 7.08s)
Time Training: 936.32s, Trained: 48k, (X:24019,O:24126), Self Play: 49873 (Draws: 0.00%)
