First 1 second:
Time Training: 854.53s, Trained: 48k, (X:23998,O:24077), Self Play: 49968 (Draws: 0.00%)
N wins: 30249, R wins: 17475, Draws: 2025, [60.80:35.13:4.07] (100K-epoch: 64, 13.68s)
Time Training: 868.21s, Trained: 47k, (X:23700,O:24024), Self Play: 50251 (Draws: 0.00%)
N wins: 30551, R wins: 17652, Draws: 2049, [60.80:35.13:4.08] (100K-epoch: 65, 13.61s)
Time Training: 881.82s, Trained: 48k, (X:24006,O:24197), Self Play: 49748 (Draws: 0.00%)
N wins: 30446, R wins: 17507, Draws: 2014, [60.93:35.04:4.03] (100K-epoch: 66, 13.68s)
Time Training: 895.50s, Trained: 47k, (X:23960,O:23993), Self Play: 50033 (Draws: 0.00%)
N wins: 30253, R wins: 17787, Draws: 1972, [60.49:35.57:3.94] (100K-epoch: 67, 13.66s)
Time Training: 909.17s, Trained: 48k, (X:23944,O:24096), Self Play: 49988 (Draws: 0.00%)
N wins: 30475, R wins: 17508, Draws: 2016, [60.95:35.02:4.03] (100K-epoch: 68, 13.63s)
Time Training: 922.80s, Trained: 47k, (X:24154,O:23829), Self Play: 50001 (Draws: 0.00%)
N wins: 30783, R wins: 17430, Draws: 2019, [61.28:34.70:4.02] (100K-epoch: 69, 13.62s)
Time Training: 936.43s, Trained: 48k, (X:24092,O:24121), Self Play: 49768 (Draws: 0.00%)
N wins: 30668, R wins: 17515, Draws: 2081, [61.01:34.85:4.14] (100K-epoch: 70, 13.68s)
Time Training: 950.11s, Trained: 48k, (X:23929,O:24254), Self Play: 49736 (Draws: 0.00%)
N wins: 31039, R wins: 17399, Draws: 1939, [61.61:34.54:3.85] (100K-epoch: 71, 13.80s)
Time Training: 963.91s, Trained: 48k, (X:24225,O:24213), Self Play: 49623 (Draws: 0.00%)
N wins: 30395, R wins: 17486, Draws: 2026, [60.90:35.04:4.06] (100K-epoch: 72, 13.66s)
Time Training: 977.57s, Trained: 47k, (X:23797,O:24084), Self Play: 50093 (Draws: 0.00%)
N wins: 30506, R wins: 17494, Draws: 2030, [60.98:34.97:4.06] (100K-epoch: 73, 13.69s)
Time Training: 991.26s, Trained: 48k, (X:23988,O:24012), Self Play: 49970 (Draws: 0.00%)
N wins: 31004, R wins: 17292, Draws: 1979, [61.67:34.39:3.94] (100K-epoch: 74, 13.65s)
Time Training: 1004.91s, Trained: 48k, (X:24022,O:24274), Self Play: 49725 (Draws: 0.00%)
N wins: 30491, R wins: 17386, Draws: 2014, [61.12:34.85:4.04] (100K-epoch: 75, 13.67s)
Time Training: 1018.58s, Trained: 47k, (X:23865,O:24012), Self Play: 50109 (Draws: 0.00%)
N wins: 30476, R wins: 17509, Draws: 2003, [60.97:35.03:4.01] (100K-epoch: 76, 13.64s)
Time Training: 1032.23s, Trained: 47k, (X:23960,O:24025), Self Play: 50012 (Draws: 0.00%)
N wins: 30457, R wins: 17386, Draws: 2001, [61.10:34.88:4.01] (100K-epoch: 77, 14.00s)
Time Training: 1046.22s, Trained: 47k, (X:23817,O:24026), Self Play: 50156 (Draws: 0.00%)
N wins: 30596, R wins: 17419, Draws: 1937, [61.25:34.87:3.88] (100K-epoch: 78, 13.54s)
Time Training: 1059.76s, Trained: 48k, (X:23997,O:24018), Self Play: 50048 (Draws: 0.00%)
N wins: 30327, R wins: 17429, Draws: 1931, [61.04:35.08:3.89] (100K-epoch: 79, 13.48s)
Time Training: 1073.24s, Trained: 47k, (X:23827,O:23929), Self Play: 50313 (Draws: 0.00%)
N wins: 30619, R wins: 17512, Draws: 2011, [61.06:34.92:4.01] (100K-epoch: 80, 13.40s)
Time Training: 1086.64s, Trained: 48k, (X:23943,O:24188), Self Play: 49858 (Draws: 0.00%)
N wins: 30417, R wins: 17504, Draws: 1971, [60.97:35.08:3.95] (100K-epoch: 81, 13.42s)
Time Training: 1100.06s, Trained: 47k, (X:23893,O:24028), Self Play: 50108 (Draws: 0.00%)
N wins: 30718, R wins: 17371, Draws: 1968, [61.37:34.70:3.93] (100K-epoch: 82, 13.42s)
Time Training: 1113.48s, Trained: 48k, (X:23994,O:24095), Self Play: 49943 (Draws: 0.00%)
N wins: 30516, R wins: 17514, Draws: 1918, [61.10:35.06:3.84] (100K-epoch: 83, 13.41s)
Time Training: 1126.89s, Trained: 48k, (X:24078,O:23952), Self Play: 50052 (Draws: 0.00%)
N wins: 30430, R wins: 17625, Draws: 2066, [60.71:35.16:4.12] (100K-epoch: 84, 13.41s)
Time Training: 1140.30s, Trained: 48k, (X:24207,O:23848), Self Play: 49879 (Draws: 0.00%)
N wins: 30423, R wins: 17576, Draws: 2029, [60.81:35.13:4.06] (100K-epoch: 85, 13.55s)
Time Training: 1153.85s, Trained: 47k, (X:24125,O:23874), Self Play: 49972 (Draws: 0.00%)
N wins: 30597, R wins: 17488, Draws: 2039, [61.04:34.89:4.07] (100K-epoch: 86, 13.40s)
Time Training: 1167.25s, Trained: 48k, (X:23959,O:24126), Self Play: 49876 (Draws: 0.00%)
N wins: 30533, R wins: 17463, Draws: 2027, [61.04:34.91:4.05] (100K-epoch: 87, 13.40s)
Time Training: 1180.66s, Trained: 47k, (X:23991,O:24005), Self Play: 49977 (Draws: 0.00%)
N wins: 30595, R wins: 17624, Draws: 1990, [60.94:35.10:3.96] (100K-epoch: 88, 13.43s)
Time Training: 1194.09s, Trained: 48k, (X:24181,O:24038), Self Play: 49791 (Draws: 0.00%)
N wins: 30537, R wins: 17585, Draws: 1967, [60.97:35.11:3.93] (100K-epoch: 89, 13.45s)
Time Training: 1207.54s, Trained: 48k, (X:23954,O:24168), Self Play: 49911 (Draws: 0.00%)
N wins: 30415, R wins: 17542, Draws: 1921, [60.98:35.17:3.85] (100K-epoch: 90, 13.43s)
Time Training: 1220.97s, Trained: 47k, (X:23993,O:23964), Self Play: 50122 (Draws: 0.00%)
N wins: 30527, R wins: 17377, Draws: 2026, [61.14:34.80:4.06] (100K-epoch: 91, 13.42s)
Time Training: 1234.39s, Trained: 47k, (X:23986,O:23918), Self Play: 50070 (Draws: 0.00%)
N wins: 30423, R wins: 17414, Draws: 2008, [61.04:34.94:4.03] (100K-epoch: 92, 13.48s)
Time Training: 1247.88s, Trained: 47k, (X:23950,O:23887), Self Play: 50155 (Draws: 0.00%)
N wins: 30533, R wins: 17474, Draws: 1988, [61.07:34.95:3.98] (100K-epoch: 93, 13.41s)
Time Training: 1261.29s, Trained: 48k, (X:23930,O:24077), Self Play: 50005 (Draws: 0.00%)
N wins: 30290, R wins: 17418, Draws: 2071, [60.85:34.99:4.16] (100K-epoch: 94, 13.42s)
Time Training: 1274.71s, Trained: 47k, (X:23729,O:23979), Self Play: 50221 (Draws: 0.00%)
N wins: 30597, R wins: 17421, Draws: 1962, [61.22:34.86:3.93] (100K-epoch: 95, 13.41s)
Time Training: 1288.12s, Trained: 48k, (X:24073,O:23945), Self Play: 50020 (Draws: 0.00%)
N wins: 30720, R wins: 17370, Draws: 1885, [61.47:34.76:3.77] (100K-epoch: 96, 13.41s)
Time Training: 1301.54s, Trained: 48k, (X:24077,O:24013), Self Play: 50025 (Draws: 0.00%)
N wins: 30359, R wins: 17495, Draws: 1914, [61.00:35.15:3.85] (100K-epoch: 97, 13.43s)
Time Training: 1314.97s, Trained: 47k, (X:23945,O:23909), Self Play: 50232 (Draws: 0.00%)
N wins: 30526, R wins: 17296, Draws: 2038, [61.22:34.69:4.09] (100K-epoch: 98, 13.61s)
Time Training: 1328.58s, Trained: 47k, (X:23790,O:24032), Self Play: 50140 (Draws: 0.00%)
N wins: 30399, R wins: 17415, Draws: 1996, [61.03:34.96:4.01] (100K-epoch: 99, 13.48s)
Time Training: 1342.06s, Trained: 47k, (X:23729,O:24085), Self Play: 50190 (Draws: 0.00%)
N wins: 30632, R wins: 17555, Draws: 2042, [60.98:34.95:4.07] (100K-epoch: 100, 13.46s)
Time Training: 1355.52s, Trained: 48k, (X:24024,O:24163), Self Play: 49771 (Draws: 0.00%)
N wins: 30395, R wins: 17468, Draws: 2034, [60.92:35.01:4.08] (100K-epoch: 101, 13.48s)
Time Training: 1369.00s, Trained: 47k, (X:23726,O:24137), Self Play: 50103 (Draws: 0.00%)
N wins: 30793, R wins: 17413, Draws: 1996, [61.34:34.69:3.98] (100K-epoch: 102, 13.52s)
Time Training: 1382.52s, Trained: 48k, (X:24162,O:24044), Self Play: 49798 (Draws: 0.00%)
N wins: 30498, R wins: 17657, Draws: 1997, [60.81:35.21:3.98] (100K-epoch: 103, 13.47s)
Time Training: 1395.99s, Trained: 48k, (X:24042,O:24113), Self Play: 49848 (Draws: 0.00%)
N wins: 30719, R wins: 17581, Draws: 2002, [61.07:34.95:3.98] (100K-epoch: 104, 13.44s)
Time Training: 1409.44s, Trained: 48k, (X:24247,O:24053), Self Play: 49698 (Draws: 0.00%)
N wins: 30640, R wins: 17461, Draws: 1962, [61.20:34.88:3.92] (100K-epoch: 105, 13.46s)
Time Training: 1422.89s, Trained: 48k, (X:23882,O:24219), Self Play: 49937 (Draws: 0.00%)
N wins: 30258, R wins: 17458, Draws: 2039, [60.81:35.09:4.10] (100K-epoch: 106, 13.49s)
Time Training: 1436.39s, Trained: 47k, (X:23861,O:23855), Self Play: 50245 (Draws: 0.00%)
N wins: 30236, R wins: 17542, Draws: 1991, [60.75:35.25:4.00] (100K-epoch: 107, 13.49s)
Time Training: 1449.88s, Trained: 47k, (X:23781,O:23997), Self Play: 50231 (Draws: 0.00%)
N wins: 30740, R wins: 17266, Draws: 1992, [61.48:34.53:3.98] (100K-epoch: 108, 13.48s)
Time Training: 1463.36s, Trained: 48k, (X:24120,O:23886), Self Play: 50002 (Draws: 0.00%)
N wins: 30646, R wins: 17280, Draws: 2044, [61.33:34.58:4.09] (100K-epoch: 109, 13.48s)
Time Training: 1476.84s, Trained: 47k, (X:23999,O:23927), Self Play: 50030 (Draws: 0.00%)
N wins: 30419, R wins: 17444, Draws: 1967, [61.05:35.01:3.95] (100K-epoch: 110, 13.48s)
Time Training: 1490.32s, Trained: 47k, (X:23816,O:24047), Self Play: 50170 (Draws: 0.00%)
N wins: 30389, R wins: 17717, Draws: 1953, [60.71:35.39:3.90] (100K-epoch: 111, 13.65s)
