First 1 second:
N wins: 35910, R wins: 11501, Draws: 2802, [71.52:22.90:5.58] (100K-epoch: 77, 6.77s)
Time Training: 515.57s, Trained: 47k, (X:23792,O:23619), Self Play: 49787 (Draws: 98.03%)
N wins: 35558, R wins: 11404, Draws: 2966, [71.22:22.84:5.94] (100K-epoch: 78, 6.72s)
Time Training: 522.29s, Trained: 46k, (X:23591,O:23371), Self Play: 50072 (Draws: 99.01%)
N wins: 35507, R wins: 11297, Draws: 2961, [71.35:22.70:5.95] (100K-epoch: 79, 6.79s)
Time Training: 529.07s, Trained: 46k, (X:23601,O:23203), Self Play: 50235 (Draws: 97.98%)
N wins: 35505, R wins: 11360, Draws: 3035, [71.15:22.77:6.08] (100K-epoch: 80, 6.71s)
Time Training: 535.79s, Trained: 46k, (X:23449,O:23416), Self Play: 50100 (Draws: 98.98%)
N wins: 35347, R wins: 11356, Draws: 2994, [71.13:22.85:6.02] (100K-epoch: 81, 6.71s)
Time Training: 542.50s, Trained: 46k, (X:23369,O:23334), Self Play: 50303 (Draws: 99.03%)
N wins: 35624, R wins: 11394, Draws: 2925, [71.33:22.81:5.86] (100K-epoch: 82, 6.75s)
Time Training: 549.25s, Trained: 47k, (X:23696,O:23322), Self Play: 50057 (Draws: 98.96%)
N wins: 35701, R wins: 11366, Draws: 2905, [71.44:22.74:5.81] (100K-epoch: 83, 6.83s)
Time Training: 556.09s, Trained: 47k, (X:23706,O:23361), Self Play: 50028 (Draws: 98.07%)
N wins: 35803, R wins: 11379, Draws: 2953, [71.41:22.70:5.89] (100K-epoch: 84, 6.71s)
Time Training: 562.80s, Trained: 47k, (X:23668,O:23514), Self Play: 49865 (Draws: 98.99%)
N wins: 35771, R wins: 11299, Draws: 2994, [71.45:22.57:5.98] (100K-epoch: 85, 6.94s)
Time Training: 569.74s, Trained: 47k, (X:23884,O:23186), Self Play: 49936 (Draws: 98.97%)
N wins: 35610, R wins: 11408, Draws: 2987, [71.21:22.81:5.97] (100K-epoch: 86, 6.78s)
Time Training: 576.52s, Trained: 47k, (X:23748,O:23270), Self Play: 49995 (Draws: 98.10%)
N wins: 35771, R wins: 11244, Draws: 2904, [71.66:22.52:5.82] (100K-epoch: 87, 6.80s)
Time Training: 583.32s, Trained: 47k, (X:23721,O:23294), Self Play: 50081 (Draws: 99.01%)
N wins: 35507, R wins: 11426, Draws: 2961, [71.16:22.90:5.93] (100K-epoch: 88, 6.80s)
Time Training: 590.12s, Trained: 46k, (X:23755,O:23178), Self Play: 50106 (Draws: 98.03%)
N wins: 35637, R wins: 11269, Draws: 3006, [71.40:22.58:6.02] (100K-epoch: 89, 6.75s)
Time Training: 596.87s, Trained: 46k, (X:23657,O:23249), Self Play: 50088 (Draws: 99.02%)
N wins: 35731, R wins: 11310, Draws: 2966, [71.45:22.62:5.93] (100K-epoch: 90, 6.81s)
Time Training: 603.68s, Trained: 47k, (X:23531,O:23510), Self Play: 49993 (Draws: 98.99%)
N wins: 35683, R wins: 11460, Draws: 2927, [71.27:22.89:5.85] (100K-epoch: 91, 6.92s)
Time Training: 610.60s, Trained: 47k, (X:23777,O:23366), Self Play: 49930 (Draws: 97.98%)
N wins: 35681, R wins: 11360, Draws: 3011, [71.29:22.70:6.02] (100K-epoch: 92, 6.78s)
Time Training: 617.38s, Trained: 47k, (X:23769,O:23272), Self Play: 49948 (Draws: 99.05%)
N wins: 35889, R wins: 11307, Draws: 2953, [71.56:22.55:5.89] (100K-epoch: 93, 6.80s)
Time Training: 624.18s, Trained: 47k, (X:23716,O:23480), Self Play: 49851 (Draws: 98.93%)
N wins: 35672, R wins: 11418, Draws: 2940, [71.30:22.82:5.88] (100K-epoch: 94, 6.74s)
Time Training: 630.92s, Trained: 47k, (X:23507,O:23583), Self Play: 49970 (Draws: 98.98%)
N wins: 35508, R wins: 11334, Draws: 2920, [71.36:22.78:5.87] (100K-epoch: 95, 6.81s)
Time Training: 637.72s, Trained: 46k, (X:23618,O:23224), Self Play: 50238 (Draws: 97.98%)
N wins: 35409, R wins: 11445, Draws: 2970, [71.07:22.97:5.96] (100K-epoch: 96, 6.78s)
Time Training: 644.50s, Trained: 46k, (X:23639,O:23215), Self Play: 50176 (Draws: 98.97%)
N wins: 35810, R wins: 11279, Draws: 2894, [71.64:22.57:5.79] (100K-epoch: 97, 6.76s)
Time Training: 651.26s, Trained: 47k, (X:23750,O:23339), Self Play: 50017 (Draws: 98.97%)
N wins: 35452, R wins: 11457, Draws: 3018, [71.01:22.95:6.04] (100K-epoch: 98, 6.74s)
Time Training: 657.99s, Trained: 46k, (X:23643,O:23266), Self Play: 50073 (Draws: 98.98%)
N wins: 35780, R wins: 11481, Draws: 2974, [71.23:22.85:5.92] (100K-epoch: 99, 6.79s)
Time Training: 664.79s, Trained: 47k, (X:23635,O:23626), Self Play: 49765 (Draws: 98.04%)
N wins: 35405, R wins: 11387, Draws: 2963, [71.16:22.89:5.96] (100K-epoch: 100, 6.73s)
Time Training: 671.52s, Trained: 46k, (X:23557,O:23235), Self Play: 50245 (Draws: 99.03%)
N wins: 35606, R wins: 11386, Draws: 2917, [71.34:22.81:5.84] (100K-epoch: 101, 6.85s)
Time Training: 678.37s, Trained: 46k, (X:23661,O:23331), Self Play: 50091 (Draws: 98.01%)
N wins: 35698, R wins: 11286, Draws: 2899, [71.56:22.62:5.81] (100K-epoch: 102, 6.73s)
Time Training: 685.10s, Trained: 46k, (X:23777,O:23207), Self Play: 50117 (Draws: 98.97%)
N wins: 35725, R wins: 11359, Draws: 2976, [71.36:22.69:5.94] (100K-epoch: 103, 6.74s)
Time Training: 691.84s, Trained: 47k, (X:23828,O:23256), Self Play: 49940 (Draws: 98.97%)
N wins: 35604, R wins: 11657, Draws: 2953, [70.90:23.21:5.88] (100K-epoch: 104, 6.78s)
Time Training: 698.63s, Trained: 47k, (X:23734,O:23527), Self Play: 49786 (Draws: 97.99%)
N wins: 35586, R wins: 11133, Draws: 2943, [71.66:22.42:5.93] (100K-epoch: 105, 6.74s)
Time Training: 705.37s, Trained: 46k, (X:23645,O:23074), Self Play: 50338 (Draws: 99.02%)
N wins: 35563, R wins: 11425, Draws: 3075, [71.04:22.82:6.14] (100K-epoch: 106, 6.74s)
Time Training: 712.11s, Trained: 46k, (X:23613,O:23375), Self Play: 49937 (Draws: 98.96%)
N wins: 35428, R wins: 11437, Draws: 2924, [71.16:22.97:5.87] (100K-epoch: 107, 6.73s)
Time Training: 718.84s, Trained: 46k, (X:23681,O:23184), Self Play: 50211 (Draws: 99.05%)
N wins: 35744, R wins: 11458, Draws: 3013, [71.18:22.82:6.00] (100K-epoch: 108, 6.80s)
Time Training: 725.64s, Trained: 47k, (X:23873,O:23329), Self Play: 49785 (Draws: 97.95%)
N wins: 35514, R wins: 11526, Draws: 2990, [70.99:23.04:5.98] (100K-epoch: 109, 6.73s)
Time Training: 732.37s, Trained: 47k, (X:23811,O:23229), Self Play: 49970 (Draws: 98.99%)
N wins: 35452, R wins: 11304, Draws: 2923, [71.36:22.75:5.88] (100K-epoch: 110, 6.73s)
Time Training: 739.10s, Trained: 46k, (X:23545,O:23211), Self Play: 50321 (Draws: 98.97%)
N wins: 35542, R wins: 11541, Draws: 2927, [71.07:23.08:5.85] (100K-epoch: 111, 6.78s)
Time Training: 745.88s, Trained: 47k, (X:23481,O:23602), Self Play: 49990 (Draws: 97.98%)
N wins: 35661, R wins: 11441, Draws: 3092, [71.05:22.79:6.16] (100K-epoch: 112, 6.72s)
Time Training: 752.60s, Trained: 47k, (X:23807,O:23295), Self Play: 49806 (Draws: 99.02%)
N wins: 35704, R wins: 11354, Draws: 2999, [71.33:22.68:5.99] (100K-epoch: 113, 6.72s)
Time Training: 759.32s, Trained: 47k, (X:23710,O:23348), Self Play: 49943 (Draws: 99.03%)
N wins: 35641, R wins: 11337, Draws: 3008, [71.30:22.68:6.02] (100K-epoch: 114, 6.76s)
Time Training: 766.08s, Trained: 46k, (X:23697,O:23281), Self Play: 50014 (Draws: 98.99%)
N wins: 35768, R wins: 11306, Draws: 3030, [71.39:22.57:6.05] (100K-epoch: 115, 6.78s)
Time Training: 772.86s, Trained: 47k, (X:23714,O:23360), Self Play: 49896 (Draws: 98.04%)
N wins: 35779, R wins: 11351, Draws: 2975, [71.41:22.65:5.94] (100K-epoch: 116, 6.77s)
Time Training: 779.62s, Trained: 47k, (X:23804,O:23326), Self Play: 49895 (Draws: 98.94%)
N wins: 35840, R wins: 11310, Draws: 2831, [71.71:22.63:5.66] (100K-epoch: 117, 6.96s)
Time Training: 786.58s, Trained: 47k, (X:23764,O:23386), Self Play: 50019 (Draws: 99.07%)
N wins: 35928, R wins: 11324, Draws: 2919, [71.61:22.57:5.82] (100K-epoch: 118, 6.84s)
Time Training: 793.42s, Trained: 47k, (X:24013,O:23239), Self Play: 49829 (Draws: 98.99%)
N wins: 35709, R wins: 11359, Draws: 2962, [71.38:22.70:5.92] (100K-epoch: 119, 6.90s)
Time Training: 800.32s, Trained: 47k, (X:23777,O:23291), Self Play: 49970 (Draws: 98.01%)
N wins: 35998, R wins: 11330, Draws: 2939, [71.61:22.54:5.85] (100K-epoch: 120, 6.84s)
Time Training: 807.16s, Trained: 47k, (X:23799,O:23529), Self Play: 49733 (Draws: 99.03%)
N wins: 35762, R wins: 11400, Draws: 2937, [71.38:22.75:5.86] (100K-epoch: 121, 6.73s)
Time Training: 813.89s, Trained: 47k, (X:23841,O:23321), Self Play: 49901 (Draws: 99.01%)
N wins: 35378, R wins: 11436, Draws: 3010, [71.01:22.95:6.04] (100K-epoch: 122, 6.78s)
Time Training: 820.67s, Trained: 46k, (X:23593,O:23221), Self Play: 50176 (Draws: 98.05%)
N wins: 35615, R wins: 11569, Draws: 2965, [71.02:23.07:5.91] (100K-epoch: 123, 6.74s)
Time Training: 827.40s, Trained: 47k, (X:23632,O:23552), Self Play: 49851 (Draws: 98.99%)
N wins: 35514, R wins: 11469, Draws: 2900, [71.19:22.99:5.81] (100K-epoch: 124, 6.80s)
Time Training: 834.20s, Trained: 46k, (X:23556,O:23427), Self Play: 50117 (Draws: 99.07%)
N wins: 35353, R wins: 11476, Draws: 2929, [71.05:23.06:5.89] (100K-epoch: 125, 6.79s)
Time Training: 841.00s, Trained: 46k, (X:23602,O:23227), Self Play: 50242 (Draws: 97.93%)
N wins: 35741, R wins: 11212, Draws: 2919, [71.67:22.48:5.85] (100K-epoch: 126, 6.80s)
Time Training: 847.80s, Trained: 46k, (X:23841,O:23112), Self Play: 50128 (Draws: 99.01%)
N wins: 35905, R wins: 11179, Draws: 2995, [71.70:22.32:5.98] (100K-epoch: 127, 6.73s)
Time Training: 854.52s, Trained: 47k, (X:24013,O:23071), Self Play: 49921 (Draws: 98.96%)
N wins: 35714, R wins: 11354, Draws: 2897, [71.48:22.72:5.80] (100K-epoch: 128, 6.71s)
Time Training: 861.24s, Trained: 47k, (X:23813,O:23255), Self Play: 50035 (Draws: 98.99%)
N wins: 35708, R wins: 11308, Draws: 2936, [71.48:22.64:5.88] (100K-epoch: 129, 6.78s)
Time Training: 868.02s, Trained: 47k, (X:23754,O:23262), Self Play: 50048 (Draws: 97.95%)
N wins: 35587, R wins: 11370, Draws: 2902, [71.38:22.80:5.82] (100K-epoch: 130, 6.71s)
Time Training: 874.74s, Trained: 46k, (X:23732,O:23225), Self Play: 50141 (Draws: 99.00%)
N wins: 35797, R wins: 11265, Draws: 2943, [71.59:22.53:5.89] (100K-epoch: 131, 6.74s)
Time Training: 881.48s, Trained: 47k, (X:23577,O:23485), Self Play: 49995 (Draws: 99.00%)
N wins: 35634, R wins: 11518, Draws: 2973, [71.09:22.98:5.93] (100K-epoch: 132, 6.78s)
