First 1 second:
N wins: 33044, R wins: 13968, Draws: 3220, [65.78:27.81:6.41] (100K-epoch: 14, 14.93s)
Time Training: 188.86s, Trained: 47k, (X:23612,O:23400), Self Play: 49768 (Draws: 18.92%)
N wins: 32239, R wins: 14458, Draws: 3423, [64.32:28.85:6.83] (100K-epoch: 15, 13.33s)
Time Training: 202.19s, Trained: 46k, (X:23771,O:22926), Self Play: 49880 (Draws: 51.05%)
N wins: 33553, R wins: 13403, Draws: 3038, [67.11:26.81:6.08] (100K-epoch: 16, 13.35s)
Time Training: 215.54s, Trained: 46k, (X:23433,O:23523), Self Play: 50006 (Draws: 34.79%)
N wins: 35046, R wins: 12974, Draws: 2278, [69.68:25.79:4.53] (100K-epoch: 17, 12.59s)
Time Training: 228.13s, Trained: 48k, (X:24036,O:23984), Self Play: 49702 (Draws: 47.97%)
N wins: 33963, R wins: 13825, Draws: 2625, [67.37:27.42:5.21] (100K-epoch: 18, 14.53s)
Time Training: 242.66s, Trained: 47k, (X:23955,O:23833), Self Play: 49587 (Draws: 21.30%)
N wins: 32731, R wins: 13870, Draws: 3558, [65.25:27.65:7.09] (100K-epoch: 19, 16.04s)
Time Training: 258.70s, Trained: 46k, (X:23222,O:23379), Self Play: 49841 (Draws: 33.92%)
N wins: 33128, R wins: 14358, Draws: 2566, [66.19:28.69:5.13] (100K-epoch: 20, 14.98s)
Time Training: 273.68s, Trained: 47k, (X:23668,O:23818), Self Play: 49948 (Draws: 28.19%)
N wins: 33012, R wins: 14047, Draws: 2784, [66.23:28.18:5.59] (100K-epoch: 21, 17.27s)
Time Training: 290.95s, Trained: 47k, (X:23459,O:23600), Self Play: 50157 (Draws: 16.23%)
N wins: 33053, R wins: 14251, Draws: 2647, [66.17:28.53:5.30] (100K-epoch: 22, 14.19s)
Time Training: 305.14s, Trained: 47k, (X:23658,O:23646), Self Play: 50049 (Draws: 24.12%)
N wins: 32433, R wins: 14754, Draws: 2801, [64.88:29.52:5.60] (100K-epoch: 23, 12.41s)
Time Training: 317.56s, Trained: 47k, (X:23571,O:23616), Self Play: 50012 (Draws: 36.07%)
N wins: 32978, R wins: 14165, Draws: 2881, [65.92:28.32:5.76] (100K-epoch: 24, 13.55s)
Time Training: 331.11s, Trained: 47k, (X:23542,O:23601), Self Play: 49976 (Draws: 27.83%)
N wins: 33640, R wins: 13995, Draws: 2380, [67.26:27.98:4.76] (100K-epoch: 25, 13.44s)
Time Training: 344.54s, Trained: 47k, (X:23619,O:24016), Self Play: 49985 (Draws: 31.76%)
N wins: 33474, R wins: 13715, Draws: 2641, [67.18:27.52:5.30] (100K-epoch: 26, 55.82s)
Time Training: 400.36s, Trained: 47k, (X:23610,O:23579), Self Play: 50170 (Draws: 35.15%)
N wins: 33627, R wins: 13367, Draws: 2767, [67.58:26.86:5.56] (100K-epoch: 27, 16.03s)
Time Training: 416.40s, Trained: 46k, (X:23507,O:23487), Self Play: 50239 (Draws: 17.02%)
N wins: 33210, R wins: 13490, Draws: 3390, [66.30:26.93:6.77] (100K-epoch: 28, 14.12s)
Time Training: 430.52s, Trained: 46k, (X:23375,O:23325), Self Play: 49910 (Draws: 46.09%)
N wins: 32971, R wins: 14039, Draws: 3073, [65.83:28.03:6.14] (100K-epoch: 29, 14.59s)
Time Training: 445.11s, Trained: 47k, (X:23437,O:23573), Self Play: 49917 (Draws: 29.29%)
N wins: 33375, R wins: 14420, Draws: 2392, [66.50:28.73:4.77] (100K-epoch: 30, 13.53s)
Time Training: 458.64s, Trained: 47k, (X:23853,O:23942), Self Play: 49813 (Draws: 47.65%)
N wins: 33678, R wins: 13858, Draws: 2601, [67.17:27.64:5.19] (100K-epoch: 31, 13.91s)
Time Training: 472.56s, Trained: 47k, (X:23680,O:23856), Self Play: 49863 (Draws: 44.09%)
N wins: 32351, R wins: 14798, Draws: 2819, [64.74:29.61:5.64] (100K-epoch: 32, 14.00s)
Time Training: 486.56s, Trained: 47k, (X:23429,O:23720), Self Play: 50032 (Draws: 42.64%)
N wins: 34185, R wins: 13600, Draws: 2210, [68.38:27.20:4.42] (100K-epoch: 33, 14.95s)
Time Training: 501.51s, Trained: 47k, (X:23844,O:23941), Self Play: 50005 (Draws: 22.98%)
N wins: 34152, R wins: 13465, Draws: 2208, [68.54:27.02:4.43] (100K-epoch: 34, 15.01s)
Time Training: 516.52s, Trained: 47k, (X:23821,O:23796), Self Play: 50175 (Draws: 28.89%)
N wins: 33644, R wins: 13614, Draws: 2867, [67.12:27.16:5.72] (100K-epoch: 35, 15.65s)
Time Training: 532.17s, Trained: 47k, (X:23822,O:23436), Self Play: 49875 (Draws: 18.70%)
N wins: 32827, R wins: 14452, Draws: 2787, [65.57:28.87:5.57] (100K-epoch: 36, 14.56s)
Time Training: 546.73s, Trained: 47k, (X:23524,O:23755), Self Play: 49934 (Draws: 45.15%)
N wins: 33484, R wins: 13948, Draws: 2598, [66.93:27.88:5.19] (100K-epoch: 37, 15.11s)
Time Training: 561.85s, Trained: 47k, (X:23529,O:23903), Self Play: 49970 (Draws: 41.06%)
N wins: 32812, R wins: 13726, Draws: 3437, [65.66:27.47:6.88] (100K-epoch: 38, 18.39s)
Time Training: 580.24s, Trained: 46k, (X:23382,O:23156), Self Play: 50025 (Draws: 33.91%)
N wins: 32398, R wins: 14658, Draws: 2844, [64.93:29.37:5.70] (100K-epoch: 39, 16.34s)
Time Training: 596.58s, Trained: 47k, (X:23386,O:23670), Self Play: 50100 (Draws: 31.97%)
N wins: 34175, R wins: 13361, Draws: 2300, [68.57:26.81:4.62] (100K-epoch: 40, 15.68s)
Time Training: 612.26s, Trained: 47k, (X:23882,O:23654), Self Play: 50164 (Draws: 30.94%)
N wins: 34193, R wins: 13517, Draws: 2313, [68.35:27.02:4.62] (100K-epoch: 41, 48.04s)
Time Training: 660.30s, Trained: 47k, (X:23776,O:23934), Self Play: 49977 (Draws: 39.80%)
N wins: 31892, R wins: 14586, Draws: 3638, [63.64:29.10:7.26] (100K-epoch: 42, 11.90s)
Time Training: 672.20s, Trained: 46k, (X:23421,O:23057), Self Play: 49884 (Draws: 58.97%)
N wins: 32309, R wins: 14703, Draws: 3051, [64.54:29.37:6.09] (100K-epoch: 43, 11.85s)
Time Training: 684.05s, Trained: 47k, (X:23387,O:23625), Self Play: 49937 (Draws: 41.13%)
N wins: 32666, R wins: 14461, Draws: 2727, [65.52:29.01:5.47] (100K-epoch: 44, 12.30s)
Time Training: 696.35s, Trained: 47k, (X:23324,O:23803), Self Play: 50146 (Draws: 22.80%)
N wins: 33503, R wins: 13704, Draws: 3234, [66.42:27.17:6.41] (100K-epoch: 45, 12.59s)
Time Training: 708.94s, Trained: 47k, (X:23539,O:23668), Self Play: 49559 (Draws: 55.98%)
N wins: 32973, R wins: 13707, Draws: 3566, [65.62:27.28:7.10] (100K-epoch: 46, 13.98s)
Time Training: 722.92s, Trained: 46k, (X:23239,O:23441), Self Play: 49754 (Draws: 26.91%)
N wins: 33915, R wins: 13709, Draws: 2467, [67.71:27.37:4.93] (100K-epoch: 47, 12.16s)
Time Training: 735.09s, Trained: 47k, (X:23774,O:23850), Self Play: 49909 (Draws: 41.18%)
N wins: 33916, R wins: 13680, Draws: 2550, [67.63:27.28:5.09] (100K-epoch: 48, 11.81s)
Time Training: 746.89s, Trained: 47k, (X:23752,O:23844), Self Play: 49854 (Draws: 42.15%)
N wins: 32304, R wins: 14346, Draws: 3315, [64.65:28.71:6.63] (100K-epoch: 49, 12.35s)
Time Training: 759.25s, Trained: 46k, (X:23271,O:23379), Self Play: 50035 (Draws: 30.14%)
N wins: 32388, R wins: 14450, Draws: 3020, [64.96:28.98:6.06] (100K-epoch: 50, 12.03s)
Time Training: 771.28s, Trained: 46k, (X:23370,O:23468), Self Play: 50142 (Draws: 40.95%)
N wins: 30856, R wins: 15637, Draws: 3374, [61.88:31.36:6.77] (100K-epoch: 51, 12.28s)
Time Training: 783.56s, Trained: 46k, (X:23052,O:23441), Self Play: 50133 (Draws: 37.74%)
N wins: 34316, R wins: 13364, Draws: 2463, [68.44:26.65:4.91] (100K-epoch: 52, 12.19s)
Time Training: 795.75s, Trained: 47k, (X:23954,O:23726), Self Play: 49857 (Draws: 36.00%)
N wins: 32336, R wins: 14610, Draws: 3262, [64.40:29.10:6.50] (100K-epoch: 53, 12.57s)
Time Training: 808.32s, Trained: 46k, (X:23120,O:23826), Self Play: 49792 (Draws: 23.10%)
N wins: 34413, R wins: 13115, Draws: 2352, [68.99:26.29:4.72] (100K-epoch: 54, 11.96s)
Time Training: 820.28s, Trained: 47k, (X:23882,O:23646), Self Play: 50120 (Draws: 31.95%)
N wins: 32435, R wins: 15342, Draws: 2391, [64.65:30.58:4.77] (100K-epoch: 55, 11.25s)
Time Training: 831.53s, Trained: 47k, (X:23950,O:23827), Self Play: 49832 (Draws: 66.13%)
N wins: 33023, R wins: 14037, Draws: 3171, [65.74:27.94:6.31] (100K-epoch: 56, 12.51s)
