First 1 second:
N wins: 30588, R wins: 17666, Draws: 1994, [60.87:35.16:3.97] (100K-epoch: 49, 16.87s)
Time Training: 807.98s, Trained: 48k, (X:24202,O:24052), Self Play: 49752 (Draws: 0.00%)
N wins: 30222, R wins: 17538, Draws: 2060, [60.66:35.20:4.13] (100K-epoch: 50, 17.66s)
Time Training: 825.64s, Trained: 47k, (X:23734,O:24026), Self Play: 50180 (Draws: 0.00%)
N wins: 30432, R wins: 17603, Draws: 2037, [60.78:35.16:4.07] (100K-epoch: 51, 18.93s)
Time Training: 844.57s, Trained: 48k, (X:24020,O:24015), Self Play: 49928 (Draws: 0.00%)
N wins: 30377, R wins: 17547, Draws: 1954, [60.90:35.18:3.92] (100K-epoch: 52, 17.75s)
Time Training: 862.32s, Trained: 47k, (X:23692,O:24232), Self Play: 50122 (Draws: 0.00%)
N wins: 30533, R wins: 17273, Draws: 2047, [61.25:34.65:4.11] (100K-epoch: 53, 17.34s)
Time Training: 879.66s, Trained: 47k, (X:23824,O:23982), Self Play: 50147 (Draws: 0.00%)
N wins: 30447, R wins: 17588, Draws: 1955, [60.91:35.18:3.91] (100K-epoch: 54, 18.29s)
Time Training: 897.95s, Trained: 48k, (X:23749,O:24286), Self Play: 50010 (Draws: 0.00%)
N wins: 30698, R wins: 17442, Draws: 1960, [61.27:34.81:3.91] (100K-epoch: 55, 19.25s)
Time Training: 917.20s, Trained: 48k, (X:24037,O:24103), Self Play: 49900 (Draws: 0.00%)
N wins: 30433, R wins: 17378, Draws: 2001, [61.10:34.89:4.02] (100K-epoch: 56, 18.28s)
Time Training: 935.48s, Trained: 47k, (X:24010,O:23801), Self Play: 50188 (Draws: 0.00%)
N wins: 30366, R wins: 17607, Draws: 1956, [60.82:35.26:3.92] (100K-epoch: 57, 17.55s)
Time Training: 953.03s, Trained: 47k, (X:23841,O:24132), Self Play: 50071 (Draws: 0.00%)
N wins: 30520, R wins: 17570, Draws: 2008, [60.92:35.07:4.01] (100K-epoch: 58, 17.36s)
Time Training: 970.39s, Trained: 48k, (X:24085,O:24005), Self Play: 49902 (Draws: 0.00%)
N wins: 30350, R wins: 17690, Draws: 1993, [60.66:35.36:3.98] (100K-epoch: 59, 17.53s)
Time Training: 987.92s, Trained: 48k, (X:23888,O:24152), Self Play: 49967 (Draws: 0.00%)
N wins: 30574, R wins: 17528, Draws: 2035, [60.98:34.96:4.06] (100K-epoch: 60, 17.89s)
Time Training: 1005.81s, Trained: 48k, (X:24103,O:23999), Self Play: 49863 (Draws: 0.00%)
N wins: 30606, R wins: 17559, Draws: 2058, [60.94:34.96:4.10] (100K-epoch: 61, 17.58s)
Time Training: 1023.39s, Trained: 48k, (X:23944,O:24221), Self Play: 49777 (Draws: 0.00%)
N wins: 30639, R wins: 17503, Draws: 2018, [61.08:34.89:4.02] (100K-epoch: 62, 17.69s)
Time Training: 1041.08s, Trained: 48k, (X:24097,O:24045), Self Play: 49840 (Draws: 0.00%)
N wins: 30470, R wins: 17471, Draws: 2014, [60.99:34.97:4.03] (100K-epoch: 63, 17.11s)
Time Training: 1058.19s, Trained: 47k, (X:23999,O:23942), Self Play: 50045 (Draws: 0.00%)
N wins: 30475, R wins: 17503, Draws: 1984, [61.00:35.03:3.97] (100K-epoch: 64, 17.31s)
