First 1 second:
N wins: 1, R wins: 0, Draws: 0, [100.00:0.00:0.00] (100K-epoch: 1, 1.21ms)
N wins: 34504, R wins: 12839, Draws: 3149, [68.34:25.43:6.24] (100K-epoch: 42, 6.21s)
Time Training: 256.21s, Trained: 47k, (X:23937,O:23406), Self Play: 49508 (Draws: 41.07%)
N wins: 33976, R wins: 12876, Draws: 3159, [67.94:25.75:6.32] (100K-epoch: 43, 6.26s)
Time Training: 262.47s, Trained: 46k, (X:23482,O:23370), Self Play: 49989 (Draws: 41.68%)
N wins: 34042, R wins: 12700, Draws: 3281, [68.05:25.39:6.56] (100K-epoch: 44, 6.20s)
Time Training: 268.68s, Trained: 46k, (X:23396,O:23346), Self Play: 49977 (Draws: 43.57%)
N wins: 33985, R wins: 12644, Draws: 3270, [68.11:25.34:6.55] (100K-epoch: 45, 6.08s)
Time Training: 274.77s, Trained: 46k, (X:23387,O:23242), Self Play: 50101 (Draws: 44.99%)
N wins: 34208, R wins: 12826, Draws: 3250, [68.03:25.51:6.46] (100K-epoch: 46, 6.28s)
Time Training: 281.05s, Trained: 47k, (X:23707,O:23327), Self Play: 49716 (Draws: 43.31%)
N wins: 34082, R wins: 12821, Draws: 3178, [68.05:25.60:6.35] (100K-epoch: 47, 6.11s)
Time Training: 287.17s, Trained: 46k, (X:23741,O:23162), Self Play: 49919 (Draws: 44.20%)
N wins: 34071, R wins: 12710, Draws: 3224, [68.14:25.42:6.45] (100K-epoch: 48, 6.25s)
Time Training: 293.42s, Trained: 46k, (X:23573,O:23208), Self Play: 49995 (Draws: 43.62%)
N wins: 33938, R wins: 12733, Draws: 3128, [68.15:25.57:6.28] (100K-epoch: 49, 6.26s)
Time Training: 299.68s, Trained: 46k, (X:23568,O:23103), Self Play: 50201 (Draws: 44.06%)
N wins: 33931, R wins: 12674, Draws: 3203, [68.12:25.45:6.43] (100K-epoch: 50, 6.13s)
Time Training: 305.82s, Trained: 46k, (X:23320,O:23285), Self Play: 50192 (Draws: 43.83%)
N wins: 34164, R wins: 12658, Draws: 3174, [68.33:25.32:6.35] (100K-epoch: 51, 6.19s)
Time Training: 312.02s, Trained: 46k, (X:23552,O:23270), Self Play: 50004 (Draws: 44.41%)
N wins: 34364, R wins: 12644, Draws: 3162, [68.50:25.20:6.30] (100K-epoch: 52, 6.28s)
Time Training: 318.31s, Trained: 47k, (X:23753,O:23255), Self Play: 49830 (Draws: 41.55%)
N wins: 34153, R wins: 12702, Draws: 3155, [68.29:25.40:6.31] (100K-epoch: 53, 6.13s)
Time Training: 324.44s, Trained: 46k, (X:23454,O:23401), Self Play: 49990 (Draws: 43.25%)
N wins: 34158, R wins: 12708, Draws: 3235, [68.18:25.36:6.46] (100K-epoch: 54, 6.20s)
Time Training: 330.64s, Trained: 46k, (X:23675,O:23191), Self Play: 49899 (Draws: 43.67%)
N wins: 33985, R wins: 12808, Draws: 3169, [68.02:25.64:6.34] (100K-epoch: 55, 6.26s)
Time Training: 336.92s, Trained: 46k, (X:23690,O:23103), Self Play: 50038 (Draws: 42.96%)
N wins: 34006, R wins: 12780, Draws: 3171, [68.07:25.58:6.35] (100K-epoch: 56, 6.21s)
Time Training: 343.13s, Trained: 46k, (X:23490,O:23296), Self Play: 50043 (Draws: 44.28%)
N wins: 33778, R wins: 12957, Draws: 3244, [67.58:25.92:6.49] (100K-epoch: 57, 6.18s)
Time Training: 349.32s, Trained: 46k, (X:23277,O:23458), Self Play: 50021 (Draws: 42.27%)
