First 1 second:
N wins: 33408, R wins: 14418, Draws: 2513, [66.37:28.64:4.99] (100K-epoch: 78, 14.46s)
Time Training: 1148.48s, Trained: 47k, (X:23846,O:23980), Self Play: 49661 (Draws: 45.91%)
N wins: 33551, R wins: 13626, Draws: 2495, [67.55:27.43:5.02] (100K-epoch: 79, 14.75s)
Time Training: 1163.23s, Trained: 47k, (X:23610,O:23567), Self Play: 50328 (Draws: 32.92%)
N wins: 34114, R wins: 13359, Draws: 2606, [68.12:26.68:5.20] (100K-epoch: 80, 15.25s)
Time Training: 1178.48s, Trained: 47k, (X:23540,O:23933), Self Play: 49921 (Draws: 26.06%)
N wins: 32278, R wins: 14672, Draws: 2933, [64.71:29.41:5.88] (100K-epoch: 81, 13.29s)
Time Training: 1191.77s, Trained: 46k, (X:23251,O:23699), Self Play: 50117 (Draws: 38.97%)
N wins: 32542, R wins: 14512, Draws: 2982, [65.04:29.00:5.96] (100K-epoch: 82, 14.51s)
Time Training: 1206.28s, Trained: 47k, (X:23280,O:23774), Self Play: 49964 (Draws: 37.01%)
N wins: 33664, R wins: 13846, Draws: 2498, [67.32:27.69:5.00] (100K-epoch: 83, 14.74s)
Time Training: 1221.02s, Trained: 47k, (X:23835,O:23675), Self Play: 49992 (Draws: 31.87%)
N wins: 34201, R wins: 13519, Draws: 2465, [68.15:26.94:4.91] (100K-epoch: 84, 16.10s)
Time Training: 1237.12s, Trained: 47k, (X:23784,O:23936), Self Play: 49815 (Draws: 23.99%)
N wins: 33125, R wins: 13930, Draws: 2988, [66.19:27.84:5.97] (100K-epoch: 85, 16.04s)
Time Training: 1253.16s, Trained: 47k, (X:23724,O:23331), Self Play: 49957 (Draws: 25.98%)
N wins: 31885, R wins: 15243, Draws: 2742, [63.94:30.57:5.50] (100K-epoch: 86, 14.63s)
Time Training: 1267.79s, Trained: 47k, (X:23513,O:23615), Self Play: 50130 (Draws: 40.08%)
